trial_id,timestamp_s,vicon_timestamp_s,object_id,label,pred_min_x,pred_min_y,pred_max_x,pred_max_y,gt_min_x,gt_min_y,gt_max_x,gt_max_y,score_m,missed_detection,placeholder
chair-session-001-pose-000001,1789060897.955653191,1789060897.946307182,obj-1,chair1,,,,,-0.286177176,-0.207395584,0.312462582,0.380955397,,true,false
chair-session-001-pose-000002,1789061001.956765652,1789061001.949191093,obj-1,chair1,,,,,-0.286120358,-0.207343098,0.312519959,0.381010682,,true,false
chair-session-001-pose-000003,1789061017.460870743,1789061017.469450235,obj-1,chair1,,,,,-0.391157245,-0.872418946,0.203107911,-0.286869000,,true,false
chair-session-001-pose-000004,1789061027.461687565,1789061027.462677717,obj-1,chair1,,,,,-0.446232717,-1.159520343,0.188309047,-0.533969951,,true,false
chair-session-001-pose-000005,1789061030.465621233,1789061030.472873926,obj-1,chair1,,,,,-0.396877881,-1.167181319,0.198349568,-0.583675073,,true,false
chair-session-001-pose-000006,1789061045.958244801,1789061045.962211370,obj-1,chair1,,,,,-0.397995380,-1.169945962,0.197522606,-0.586374487,,true,false
chair-session-001-pose-000007,1789061055.464125156,1789061055.455320358,obj-1,chair1,,,,,-0.678485744,-1.804033611,-0.004312104,-1.138108989,,true,false
chair-session-001-pose-000008,1789061061.461898327,1789061061.452048302,obj-1,chair1,,,,,-0.680292005,-1.803546974,-0.006323386,-1.137669311,,true,false
chair-session-001-pose-000009,1789061092.961637020,1789061092.968589544,obj-1,chair1,,,,,-0.255309241,-2.170220066,0.335147098,-1.589551994,,true,false
